date,away_team,away_pt,home_team,home_pt,away_open,away_fduel,away_bmgm,away_czr,away_dking,away_rivers,away_vinsider,home_open,home_fduel,home_bmgm,home_czr,home_dking,home_rivers,home_vinsider
Tue Oct 18 2022,Philadelphia 76ers,117,Boston Celtics,126,+158,+122,+125,+130,+125,+123,+122,-188,-144,-155,-155,-145,-148,-144
Tue Oct 18 2022,Los Angeles Lakers,109,Golden State Warriors,123,+200,+245,+250,+250,+240,+230,+245,-245,-300,-300,-320,-285,-295,-300
Wed Oct 19 2022,Orlando Magic,109,Detroit Pistons,113,+160,+138,+135,+130,+145,+135,+138,-190,-164,-160,-155,-170,-162,-164
Wed Oct 19 2022,Washington Wizards,114,Indiana Pacers,107,-142,-142,-140,-140,-140,-132,-142,+120,+120,+115,+118,+120,+110,+120
Wed Oct 19 2022,Houston Rockets,107,Atlanta Hawks,117,+360,+420,+375,+400,+400,+370,+400,-460,-560,-500,-550,-500,-500,-520
Wed Oct 19 2022,New Orleans Pelicans,130,Brooklyn Nets,108,+126,+126,+125,+126,+135,+118,+126,-148,-148,-150,-150,-155,-141,-148
Wed Oct 19 2022,New York Knicks,112,Memphis Grizzlies,115,+235,+160,+155,+158,+165,+160,+160,-290,-190,-190,-190,-195,-186,-190
Wed Oct 19 2022,Chicago Bulls,116,Miami Heat,108,+210,+250,+240,+250,+245,+240,+250,-255,-310,-300,-320,-295,-315,-310
Wed Oct 19 2022,Cleveland Cavaliers,105,Toronto Raptors,108,+130,+122,+120,+115,+120,+112,+122,-154,-144,-145,-135,-140,-134,-144
Wed Oct 19 2022,Oklahoma City Thunder,108,Minnesota Timberwolves,115,+540,+500,+400,+460,+450,+430,+500,-770,-700,-550,-650,-600,-590,-700
Wed Oct 19 2022,Charlotte Hornets,129,San Antonio Spurs,102,-142,-116,-110,-115,-110,-112,-116,+120,-104,-110,-105,-110,-107,-104
Wed Oct 19 2022,Denver Nuggets,102,Utah Jazz,123,-335,-275,-275,-278,-260,-250,-275,+270,+225,+225,+222,+220,+205,+225
Wed Oct 19 2022,Dallas Mavericks,105,Phoenix Suns,107,+180,+146,+150,+152,+150,+150,+146,-215,-174,-185,-180,-175,-180,-174
Wed Oct 19 2022,Portland Trail Blazers,115,Sacramento Kings,108,+102,+140,+125,+130,+135,+118,+140,-120,-166,-155,-155,-155,-141,-166
Thu Oct 20 2022,Milwaukee Bucks,90,Philadelphia 76ers,88,+130,+146,+145,+150,+155,+150,+146,-154,-174,-175,-178,-180,-180,-174
Thu Oct 20 2022,Los Angeles Clippers,103,Los Angeles Lakers,97,-200,-196,-190,-205,-195,-200,-190,+168,+164,+155,+170,+165,+163,+160
Fri Oct 21 2022,New Orleans Pelicans,124,Charlotte Hornets,112,-240,-270,-275,-285,-265,-250,-270,+198,+220,+220,+228,+225,+210,+220
Fri Oct 21 2022,San Antonio Spurs,137,Indiana Pacers,134,+130,even,even,+105,even,-105,even,-154,-118,-120,-125,-120,-114,-118
Fri Oct 21 2022,Chicago Bulls,100,Washington Wizards,102,+104,+108,+110,+110,+105,+110,+108,-122,-126,-135,-130,-125,-132,-126
Fri Oct 21 2022,Orlando Magic,98,Atlanta Hawks,108,+295,+340,+300,+320,+300,+310,+340,-370,-430,-400,-420,-365,-400,-430
Fri Oct 21 2022,Toronto Raptors,105,Brooklyn Nets,109,+130,+118,+115,+122,+125,+123,+118,-154,-138,-140,-145,-145,-143,-138
Fri Oct 21 2022,Boston Celtics,111,Miami Heat,104,-126,-124,-135,-135,-130,-139,-124,+108,+106,+110,+115,+110,+117,+106
Fri Oct 21 2022,Detroit Pistons,106,New York Knicks,130,+220,+235,+240,+240,+235,+220,+235,-270,-290,-300,-305,-280,-278,-290
Fri Oct 21 2022,Memphis Grizzlies,129,Houston Rockets,122,-215,-275,-275,-285,-285,-265,-270,+180,+225,+220,+228,+240,+215,+220
Fri Oct 21 2022,Utah Jazz,132,Minnesota Timberwolves,126,+290,+270,+260,+270,+270,+255,+270,-360,-335,-350,-345,-325,-315,-335
Fri Oct 21 2022,Denver Nuggets,128,Golden State Warriors,123,+198,+198,+180,+180,+180,+175,+198,-240,-240,-225,-220,-210,-215,-240
Fri Oct 21 2022,Phoenix Suns,111,Portland Trail Blazers,113,-164,-215,-225,-210,-205,-215,-215,+138,+180,+180,+175,+175,+170,+180
Sat Oct 22 2022,San Antonio Spurs,114,Philadelphia 76ers,105,+640,+660,+600,+550,+600,+600,+660,-950,-1000,-900,-800,-850,-910,-1000
Sat Oct 22 2022,Detroit Pistons,115,Indiana Pacers,124,-116,-108,-110,-105,-105,-110,-108,-102,-108,-110,-115,-115,-108,-108
Sat Oct 22 2022,Boston Celtics,126,Orlando Magic,120,-320,-375,-375,-400,-380,-360,-375,+260,+300,+290,+310,+310,+280,+300
Sat Oct 22 2022,Cleveland Cavaliers,128,Chicago Bulls,96,-120,-110,-125,-125,-120,-122,-110,+102,-106,+105,+105,even,+104,-106
Sat Oct 22 2022,Toronto Raptors,109,Miami Heat,112,+118,+130,+135,+140,+140,+123,+130,-138,-154,-160,-165,-165,-150,-154
