date,away_team,away_pt,home_team,home_pt,away_open_sp,away_open_line,away_fduel_sp,away_fduel_line,away_bmgm_sp,away_bmgm_line,away_czr_sp,away_czr_line,away_dking_sp,away_dking_line,away_rivers_sp,away_rivers_line,away_vinsider_sp,away_vinsider_line,home_open_sp,home_open_line,home_fduel_sp,home_fduel_line,home_bmgm_sp,home_bmgm_line,home_czr_sp,home_czr_line,home_dking_sp,home_dking_line,home_rivers_sp,home_rivers_line,home_vinsider_sp,home_vinsider_line
Tue Oct 18 2022,Philadelphia 76ers,117,Boston Celtics,126,o214,-110,o216.5,-110,o216.5,-110,o216.5,-110,o216.5,-110,o216,-112,o216.5,-110,u214,-110,u216.5,-110,u216.5,-110,u216.5,-110,u216.5,-110,u216,-109,u216.5,-110
Tue Oct 18 2022,Los Angeles Lakers,109,Golden State Warriors,123,o227.5,-110,o224,-110,o223.5,-110,o223.5,-110,o223.5,-110,o224,-112,o224,-110,u227.5,-110,u224,-110,u223.5,-110,u223.5,-110,u223.5,-110,u224,-109,u224,-110
Wed Oct 19 2022,Orlando Magic,109,Detroit Pistons,113,o217,-110,o215,-110,o214.5,-115,o215,-110,o215,-110,o215,-113,o215,-110,u217,-110,u215,-110,u214.5,-105,u215,-110,u215,-110,u215,-108,u215,-110
Wed Oct 19 2022,Washington Wizards,114,Indiana Pacers,107,o229,-110,o229,-110,o228.5,-110,o229,-110,o229,-110,o228.5,-109,o229,-110,u229,-110,u229,-110,u228.5,-110,u229,-110,u229,-110,u228.5,-112,u229,-110
Wed Oct 19 2022,Houston Rockets,107,Atlanta Hawks,117,o235,-110,o235.5,-110,o234.5,-110,o235,-110,o235,-110,o234.5,-109,o235.5,-110,u235,-110,u235.5,-110,u234.5,-110,u235,-110,u235,-110,u234.5,-112,u235.5,-110
Wed Oct 19 2022,New Orleans Pelicans,130,Brooklyn Nets,108,o229,-110,o232,-110,o231.5,-115,o232.5,-110,o232,-110,o231,-113,o232,-110,u229,-110,u232,-110,u231.5,-105,u232.5,-110,u232,-110,u231,-108,u232,-110
Wed Oct 19 2022,New York Knicks,112,Memphis Grizzlies,115,o218,-110,o226.5,-110,o226.5,-110,o227,-110,o227,-110,o226.5,-110,o226.5,-110,u218,-110,u226.5,-110,u226.5,-110,u227,-110,u227,-110,u226.5,-110,u226.5,-110
Wed Oct 19 2022,Chicago Bulls,116,Miami Heat,108,o216,-110,o216,-110,o216.5,-110,o216,-110,o216,-110,o216,-109,o216,-110,u216,-110,u216,-110,u216.5,-110,u216,-110,u216,-110,u216,-112,u216,-110
Wed Oct 19 2022,Cleveland Cavaliers,105,Toronto Raptors,108,o220,-110,o216.5,-110,o216.5,-110,o216,-110,o216,-110,o216,-109,o216.5,-110,u220,-110,u216.5,-110,u216.5,-110,u216,-110,u216,-110,u216,-112,u216.5,-110
Wed Oct 19 2022,Oklahoma City Thunder,108,Minnesota Timberwolves,115,o220,-110,o227,-110,o226.5,-105,o226,-110,o226,-110,o226,-108,o227,-110,u220,-110,u227,-110,u226.5,-115,u226,-110,u226,-110,u226,-113,u227,-110
Wed Oct 19 2022,Charlotte Hornets,129,San Antonio Spurs,102,o237,-110,o221,-110,o221.5,-110,o221.5,-110,o221.5,-110,o220.5,-110,o221,-110,u237,-110,u221,-110,u221.5,-110,u221.5,-110,u221.5,-110,u220.5,-110,u221,-110
Wed Oct 19 2022,Denver Nuggets,102,Utah Jazz,123,o220,-110,o225.5,-110,o225.5,-110,o225,-110,o225.5,-115,o225.5,-110,o225.5,-110,u220,-110,u225.5,-110,u225.5,-110,u225,-110,u225.5,-105,u225.5,-110,u225.5,-110
Wed Oct 19 2022,Dallas Mavericks,105,Phoenix Suns,107,o216.5,-110,o218,-110,o218.5,-110,o218,-110,o218.5,-110,o218,-108,o218,-110,u216.5,-110,u218,-110,u218.5,-110,u218,-110,u218.5,-110,u218,-113,u218,-110
Wed Oct 19 2022,Portland Trail Blazers,115,Sacramento Kings,108,o236,-110,o229.5,-110,o229.5,-115,o229,-110,o229,-115,o229.5,-108,o229.5,-110,u236,-110,u229.5,-110,u229.5,-105,u229,-110,u229,-105,u229.5,-113,u229.5,-110
Thu Oct 20 2022,Milwaukee Bucks,90,Philadelphia 76ers,88,o225,-110,o225,-108,o223.5,-110,o224.5,-110,o224.5,-110,o224.5,-108,o225,-108,u225,-110,u225,-112,u223.5,-110,u224.5,-110,u224.5,-110,u224.5,-113,u225,-112
Thu Oct 20 2022,Los Angeles Clippers,103,Los Angeles Lakers,97,o220.5,-110,o226.5,-110,o226.5,-110,o226.5,-110,o226.5,-110,o226.5,-112,o226.5,-110,u220.5,-110,u226.5,-110,u226.5,-110,u226.5,-110,u226.5,-110,u226.5,-109,u226.5,-110
Fri Oct 21 2022,New Orleans Pelicans,124,Charlotte Hornets,112,o232.5,-110,o226.5,-110,o226.5,-110,o226,-110,o226.5,-110,o226.5,-110,o226.5,-110,u232.5,-110,u226.5,-110,u226.5,-110,u226,-110,u226.5,-110,u226.5,-110,u226.5,-110
Fri Oct 21 2022,San Antonio Spurs,137,Indiana Pacers,134,o231,-110,o232.5,-110,o232.5,-110,o233,-110,o233,-110,o233,-108,o232.5,-110,u231,-110,u232.5,-110,u232.5,-110,u233,-110,u233,-110,u233,-113,u232.5,-110
Fri Oct 21 2022,Chicago Bulls,100,Washington Wizards,102,o224.5,-110,o220,-110,o220.5,-110,o221,-110,o221,-110,o221.5,-112,o220,-110,u224.5,-110,u220,-110,u220.5,-110,u221,-110,u221,-110,u221.5,-109,u220,-110
Fri Oct 21 2022,Orlando Magic,98,Atlanta Hawks,108,o223,-110,o226,-110,o225.5,-110,o225.5,-110,o225.5,-110,o225.5,-110,o226,-110,u223,-110,u226,-110,u225.5,-110,u225.5,-110,u225.5,-110,u225.5,-110,u226,-110
Fri Oct 21 2022,Toronto Raptors,105,Brooklyn Nets,109,o226,-110,o226,-108,o226.5,-110,o226,-110,o226,-110,o226.5,-110,o226,-108,u226,-110,u226,-112,u226.5,-110,u226,-110,u226,-110,u226.5,-110,u226,-112
Fri Oct 21 2022,Boston Celtics,111,Miami Heat,104,o219,-110,o221.5,-110,o221.5,-110,o221,-110,o221,-115,o221.5,-113,o221.5,-110,u219,-110,u221.5,-110,u221.5,-110,u221,-110,u221,-105,u221.5,-108,u221.5,-110
Fri Oct 21 2022,Detroit Pistons,106,New York Knicks,130,o217.5,-110,o221,-110,o220.5,-110,o221,-110,o221,-110,o221.5,-110,o221,-110,u217.5,-110,u221,-110,u220.5,-110,u221,-110,u221,-110,u221.5,-110,u221,-110
Fri Oct 21 2022,Memphis Grizzlies,129,Houston Rockets,122,o230.5,-110,o230,-110,o231.5,-110,o231.5,-110,o231.5,-110,o231.5,-113,o230.5,-108,u230.5,-110,u230,-110,u231.5,-110,u231.5,-110,u231.5,-110,u231.5,-108,u230.5,-112
Fri Oct 21 2022,Utah Jazz,132,Minnesota Timberwolves,126,o228.5,-110,o227,-110,o226.5,-110,o226.5,-110,o226.5,-110,o226.5,-113,o227,-110,u228.5,-110,u227,-110,u226.5,-110,u226.5,-110,u226.5,-110,u226.5,-108,u227,-110
