date,away_team,away_pt,home_team,home_pt,home_spread,home_total,home_ml,away_spread,away_total,away_ml
Tue Oct 24 2023,Los Angeles Lakers,107,Denver Nuggets,119,-5 (-106),o229 (-110),-190,+5 (-114),u229 (-110),+160
Tue Oct 24 2023,Phoenix Suns,108,Golden State Warriors,104,-2.5 (-110),o235 (-108),-148,+2.5 (-110),u235 (-112),+126
Wed Oct 25 2023,Houston Rockets,86,Orlando Magic,116,-4.5 (-110),o219.5 (-110),-184,+4.5 (-110),u219.5 (-110),+154
Wed Oct 25 2023,Boston Celtics,108,New York Knicks,104,+4 (-110),o223 (-110),+146,-4 (-110),u223 (-110),-174
Wed Oct 25 2023,Washington Wizards,120,Indiana Pacers,143,-5 (-110),o235.5 (-110),-210,+5 (-110),u235.5 (-110),+176
Wed Oct 25 2023,Atlanta Hawks,110,Charlotte Hornets,116,+4 (-110),o236 (-110),+152,-4 (-110),u236 (-110),-180
Wed Oct 25 2023,Detroit Pistons,102,Miami Heat,103,-9.5 (-108),o218.5 (-110),-450,+9.5 (-112),u218.5 (-110),+350
Wed Oct 25 2023,Minnesota Timberwolves,94,Toronto Raptors,97,-1 (-108),o220.5 (-110),-112,+1 (-112),u220.5 (-110),-104
Wed Oct 25 2023,Cleveland Cavaliers,114,Brooklyn Nets,113,+1.5 (-108),o218.5 (-110),+104,-1.5 (-112),u218.5 (-110),-122
Wed Oct 25 2023,New Orleans Pelicans,111,Memphis Grizzlies,104,-1 (-108),o224.5 (-110),-112,+1 (-112),u224.5 (-110),-104
Wed Oct 25 2023,Oklahoma City Thunder,124,Chicago Bulls,104,-2.5 (-112),o225 (-108),-146,+2.5 (-108),u225 (-112),+124
Wed Oct 25 2023,Sacramento Kings,130,Utah Jazz,114,+1.5 (-108),o234 (-110),+106,-1.5 (-112),u234 (-110),-124
Wed Oct 25 2023,Dallas Mavericks,126,San Antonio Spurs,119,+4.5 (-114),o230.5 (-110),+152,-4.5 (-106),u230.5 (-110),-180
Wed Oct 25 2023,Portland Trail Blazers,111,Los Angeles Clippers,123,-9.5 (-108),o226 (-108),-420,+9.5 (-112),u226 (-112),+330
Thu Oct 26 2023,Philadelphia 76ers,117,Milwaukee Bucks,118,-6 (-114),o227.5 (-110),-245,+6 (-106),u227.5 (-110),+200
Thu Oct 26 2023,Phoenix Suns,95,Los Angeles Lakers,100,-6.5 (-106),o226.5 (-108),-235,+6.5 (-114),u226.5 (-112),+194
Fri Oct 27 2023,Denver Nuggets,108,Memphis Grizzlies,104,+6 (-110),o221.5 (-110),+190,-6 (-110),u221.5 (-110),-230
Fri Oct 27 2023,Detroit Pistons,111,Charlotte Hornets,99,-4.5 (-110),o227 (-110),-188,+4.5 (-110),u227 (-110),+158
Fri Oct 27 2023,New York Knicks,126,Atlanta Hawks,120,+1.5 (-112),o228.5 (-110),even,-1.5 (-108),u228.5 (-110),-118
Fri Oct 27 2023,Oklahoma City Thunder,108,Cleveland Cavaliers,105,-2 (-112),o226.5 (-110),-130,+2 (-108),u226.5 (-110),+110
Fri Oct 27 2023,Miami Heat,111,Boston Celtics,119,-8.5 (-110),o218 (-110),-405,+8.5 (-110),u218 (-110),+320
Fri Oct 27 2023,Toronto Raptors,103,Chicago Bulls,104,-2.5 (-110),o216.5 (-110),-134,+2.5 (-110),u216.5 (-110),+114
Fri Oct 27 2023,Houston Rockets,122,San Antonio Spurs,126,-3.5 (-108),o224.5 (-110),-156,+3.5 (-112),u224.5 (-110),+132
Fri Oct 27 2023,Brooklyn Nets,120,Dallas Mavericks,125,-6 (-110),o230 (-110),-240,+6 (-110),u230 (-110),+198
