date,away_team,away_pt,home_team,home_pt,away_open_sp,away_open_line,away_fduel_sp,away_fduel_line,away_bmgm_sp,away_bmgm_line,away_czr_sp,away_czr_line,away_dking_sp,away_dking_line,away_rivers_sp,away_rivers_line,away_vinsider_sp,away_vinsider_line,home_open_sp,home_open_line,home_fduel_sp,home_fduel_line,home_bmgm_sp,home_bmgm_line,home_czr_sp,home_czr_line,home_dking_sp,home_dking_line,home_rivers_sp,home_rivers_line,home_vinsider_sp,home_vinsider_line
Tue Oct 18 2022,Philadelphia 76ers,117,Boston Celtics,126,+4,-110,+3,-112,+3.5,-115,+3,-110,+3,-115,+3,-109,+3,-112,-4,-110,-3,-108,-3.5,-105,-3,-110,-3,-105,-3,-112,-3,-108
Tue Oct 18 2022,Los Angeles Lakers,109,Golden State Warriors,123,+6,-110,+7.5,-112,+7.5,-110,+7.5,-110,+7.5,-110,+7.5,-112,+7.5,-112,-6,-110,-7.5,-108,-7.5,-110,-7.5,-110,-7.5,-110,-7.5,-109,-7.5,-108
Wed Oct 19 2022,Orlando Magic,109,Detroit Pistons,113,+4.5,-112,+3.5,-106,+3.5,-110,+3.5,-110,+4,-115,+3.5,-108,+3.5,-106,-4.5,-108,-3.5,-114,-3.5,-110,-3.5,-110,-4,-105,-3.5,-113,-3.5,-114
Wed Oct 19 2022,Washington Wizards,114,Indiana Pacers,107,-2.5,-110,-2.5,-114,-2.5,-110,-2.5,-110,-2.5,-110,-2.5,-110,-2.5,-114,+2.5,-110,+2.5,-106,+2.5,-110,+2.5,-110,+2.5,-110,+2.5,-110,+2.5,-106
Wed Oct 19 2022,Houston Rockets,107,Atlanta Hawks,117,+9.5,-110,+10.5,-110,+10.5,-115,+10,-110,+10.5,-110,+10.5,-113,+10.5,-110,-9.5,-110,-10.5,-110,-10.5,-105,-10,-110,-10.5,-110,-10.5,-108,-10.5,-110
Wed Oct 19 2022,New Orleans Pelicans,130,Brooklyn Nets,108,+3,-110,+3,-110,+2.5,-105,+3,-110,+3,-110,+3,-113,+3,-110,-3,-110,-3,-110,-2.5,-115,-3,-110,-3,-110,-3,-107,-3,-110
Wed Oct 19 2022,New York Knicks,112,Memphis Grizzlies,115,+7,-114,+4.5,-108,+4.5,-105,+4.5,-110,+4.5,-110,+4.5,-108,+4.5,-108,-7,-106,-4.5,-112,-4.5,-115,-4.5,-110,-4.5,-110,-4.5,-113,-4.5,-112
Wed Oct 19 2022,Chicago Bulls,116,Miami Heat,108,+6,-110,+7.5,-110,+7.5,-110,+7.5,-110,+7.5,-110,+7.5,-108,+7.5,-110,-6,-110,-7.5,-110,-7.5,-110,-7.5,-110,-7.5,-110,-7.5,-113,-7.5,-110
Wed Oct 19 2022,Cleveland Cavaliers,105,Toronto Raptors,108,+3,-110,+3,-114,+2.5,-110,+2.5,-110,+2.5,-110,+2.5,-110,+3,-114,-3,-110,-3,-106,-2.5,-110,-2.5,-110,-2.5,-110,-2.5,-110,-3,-106
Wed Oct 19 2022,Oklahoma City Thunder,108,Minnesota Timberwolves,115,+12,-112,+11,-106,+10.5,-110,+11,-110,+11,-105,+11,-112,+11,-106,-12,-110,-11,-114,-10.5,-110,-11,-110,-11,-115,-11,-109,-11,-114
