date,away_team,away_pt,home_team,home_pt,away_open_sp,away_open_line,away_b365_sp,away_b365_line,away_fduel_sp,away_fduel_line,away_bmgm_sp,away_bmgm_line,away_czr_sp,away_czr_line,away_dking_sp,away_dking_line,away_rivers_sp,away_rivers_line,away_vinsider_sp,away_vinsider_line,home_open_sp,home_open_line,home_b365_sp,home_b365_line,home_fduel_sp,home_fduel_line,home_bmgm_sp,home_bmgm_line,home_czr_sp,home_czr_line,home_dking_sp,home_dking_line,home_rivers_sp,home_rivers_line,home_vinsider_sp,home_vinsider_line
Tue Oct 24 2023,Los Angeles Lakers,107,Denver Nuggets,119,+5.5,-110,+4.5,-105,+5,-114,+4.5,-110,+4.5,-110,+4.5,-105,+4.5,-108,+5,-114,-5.5,-110,-4.5,-115,-5,-106,-4.5,-110,-4.5,-110,-4.5,-115,-4.5,-113,-5,-106
Tue Oct 24 2023,Phoenix Suns,108,Golden State Warriors,104,+1.5,-110,+2.5,-105,+2.5,-110,+2.5,-105,+3,-110,+2.5,-105,+2.5,-115,+2.5,-110,-1.5,-110,-2.5,-115,-2.5,-110,-2.5,-115,-3,-110,-2.5,-115,-2.5,-115,-2.5,-110
Wed Oct 25 2023,Houston Rockets,86,Orlando Magic,116,+2.5,-106,+4.5,-110,+4.5,-110,+4.5,-110,+4.5,-110,+4.5,-112,+4.5,-110,+4.5,-110,-2.5,-114,-4.5,-110,-4.5,-110,-4.5,-110,-4.5,-110,-4.5,-108,-4.5,-110,-4.5,-110
Wed Oct 25 2023,Boston Celtics,108,New York Knicks,104,-1,-110,-4,-110,-4,-110,-3.5,-110,-4,-115,-4,-112,-4.5,-115,-4,-110,+1,-110,+4,-110,+4,-110,+3.5,-110,+4,-105,+4,-108,+4.5,-115,+4,-110
Wed Oct 25 2023,Washington Wizards,120,Indiana Pacers,143,+8.5,-110,+4.5,-110,+5,-110,+5.5,-115,+5,-115,+5,-115,+4,-120,+5,-110,-8.5,-110,-4.5,-110,-5,-110,-5.5,-105,-5,-105,-5,-105,-4,-114,-5,-110
Wed Oct 25 2023,Atlanta Hawks,110,Charlotte Hornets,116,-1.5,-110,-4,-110,-4,-110,-3.5,-110,-4,-115,-5,-108,-4.5,-115,-4,-110,+1.5,-110,+4,-110,+4,-110,+3.5,-110,+4,-105,+5,-112,+4.5,-115,+4,-110
Wed Oct 25 2023,Detroit Pistons,102,Miami Heat,103,+11.5,-110,+9.5,-110,+9.5,-112,+9.5,-115,+9.5,-115,+9.5,-110,+9.5,-115,+9.5,-112,-11.5,-110,-9.5,-110,-9.5,-108,-9.5,-105,-9.5,-105,-9.5,-110,-9.5,-115,-9.5,-108
Wed Oct 25 2023,Minnesota Timberwolves,94,Toronto Raptors,97,+1,-108,+1,-115,+1,-112,+1.5,-120,+1,-110,+1,-110,-1,-113,+1,-112,-1,-112,-1,-105,-1,-108,-1.5,even,-1,-110,-1,-110,+1,-108,-1,-108
Wed Oct 25 2023,Cleveland Cavaliers,114,Brooklyn Nets,113,-1,-110,-2,-105,-1.5,-112,-1.5,-115,-2,-110,-1.5,-112,-1.5,-113,-1.5,-112,+1,-110,+2,-115,+1.5,-108,+1.5,-105,+2,-110,+1.5,-108,+1.5,-107,+1.5,-108
Wed Oct 25 2023,New Orleans Pelicans,111,Memphis Grizzlies,104,+1.5,-108,+1,-110,+1,-112,+1.5,-125,+1,-110,+1,-110,+1,-115,+1,-112,-1.5,-112,-1,-110,-1,-108,-1.5,+105,-1,-110,-1,-110,-1,-106,-1,-108
