date,away_team,away_pt,home_team,home_pt,away_open_sp,away_open_line,away_b365_sp,away_b365_line,away_fduel_sp,away_fduel_line,away_bmgm_sp,away_bmgm_line,away_czr_sp,away_czr_line,away_dking_sp,away_dking_line,away_rivers_sp,away_rivers_line,away_vinsider_sp,away_vinsider_line,home_open_sp,home_open_line,home_b365_sp,home_b365_line,home_fduel_sp,home_fduel_line,home_bmgm_sp,home_bmgm_line,home_czr_sp,home_czr_line,home_dking_sp,home_dking_line,home_rivers_sp,home_rivers_line,home_vinsider_sp,home_vinsider_line
Tue Oct 24 2023,Los Angeles Lakers,107,Denver Nuggets,119,o227.5,-110,o229,-110,o229,-110,o228.5,-110,o229,-110,o228.5,-115,o229.5,-112,o229,-110,u227.5,-110,u229,-110,u229,-110,u228.5,-110,u229,-110,u228.5,-105,u229.5,-109,u229,-110
Tue Oct 24 2023,Phoenix Suns,108,Golden State Warriors,104,o230.5,-110,o235.5,-110,o235,-108,o234.5,-115,o236,-110,o234.5,-110,o235,-115,o235,-108,u230.5,-110,u235.5,-110,u235,-112,u234.5,-105,u236,-110,u234.5,-110,u235,-115,u235,-112
Wed Oct 25 2023,Houston Rockets,86,Orlando Magic,116,o217.5,-110,o220,-110,o219.5,-110,o220.5,-110,o220,-105,o220,-108,o219.5,-108,o219.5,-110,u217.5,-110,u220,-110,u219.5,-110,u220.5,-110,u220,-115,u220,-112,u219.5,-113,u219.5,-110
Wed Oct 25 2023,Boston Celtics,108,New York Knicks,104,o223.5,-110,o223,-110,o223,-110,o223.5,-110,o223.5,-115,o223,-110,o223,-115,o223,-110,u223.5,-110,u223,-110,u223,-110,u223.5,-110,u223.5,-105,u223,-110,u223,-115,u223,-110
Wed Oct 25 2023,Washington Wizards,120,Indiana Pacers,143,o228.5,-110,o235.5,-110,o235.5,-110,o235.5,-110,o235.5,-110,o235.5,-108,o236.5,-114,o235.5,-110,u228.5,-110,u235.5,-110,u235.5,-110,u235.5,-110,u235.5,-110,u235.5,-112,u236.5,-120,u235.5,-110
Wed Oct 25 2023,Atlanta Hawks,110,Charlotte Hornets,116,o228.5,-110,o236,-110,o236,-110,o235.5,-115,o236,-110,o234.5,-112,o236.5,-115,o236,-110,u228.5,-110,u236,-110,u236,-110,u235.5,-105,u236,-110,u234.5,-108,u236.5,-115,u236,-110
Wed Oct 25 2023,Detroit Pistons,102,Miami Heat,103,o220.5,-110,o218,-110,o218.5,-110,o218.5,-115,o218,-110,o218.5,-112,o218.5,-115,o218.5,-110,u220.5,-110,u218,-110,u218.5,-110,u218.5,-105,u218,-110,u218.5,-108,u218.5,-115,u218.5,-110
Wed Oct 25 2023,Minnesota Timberwolves,94,Toronto Raptors,97,o215.5,-110,o221.5,-110,o220.5,-110,o221.5,-115,o220.5,-105,o221,-110,o221,-110,o220.5,-110,u215.5,-110,u221.5,-110,u220.5,-110,u221.5,-105,u220.5,-115,u221,-110,u221,-110,u220.5,-110
Wed Oct 25 2023,Cleveland Cavaliers,114,Brooklyn Nets,113,o221,-110,o218.5,-110,o218.5,-110,o220.5,-110,o218,-110,o220,-110,o218,-112,o218.5,-110,u221,-110,u218.5,-110,u218.5,-110,u220.5,-110,u218,-110,u220,-110,u218,-109,u218.5,-110
Wed Oct 25 2023,New Orleans Pelicans,111,Memphis Grizzlies,104,o223.5,-110,o224.5,-110,o224.5,-110,o224.5,-110,o224,-105,o224.5,-108,o224.5,-112,o224.5,-110,u223.5,-110,u224.5,-110,u224.5,-110,u224.5,-110,u224,-115,u224.5,-112,u224.5,-109,u224.5,-110
Wed Oct 25 2023,Oklahoma City Thunder,124,Chicago Bulls,104,o228.5,-110,o224,-110,o225,-108,o225.5,-115,o224,-110,o224,-110,o224,-112,o225,-108,u228.5,-110,u224,-110,u225,-112,u225.5,-105,u224,-110,u224,-110,u224,-109,u225,-112
Wed Oct 25 2023,Sacramento Kings,130,Utah Jazz,114,o232.5,-110,o233.5,-110,o234,-110,o234.5,-110,o233.5,-110,o233.5,-108,o234,-110,o234,-110,u232.5,-110,u233.5,-110,u234,-110,u234.5,-110,u233.5,-110,u233.5,-112,u234,-110,u234,-110
Wed Oct 25 2023,Dallas Mavericks,126,San Antonio Spurs,119,o226.5,-110,o231.5,-110,o230.5,-110,o231.5,-105,o231.5,-105,o231.5,-112,o230.5,-113,o230.5,-110,u226.5,-110,u231.5,-110,u230.5,-110,u231.5,-115,u231.5,-115,u231.5,-108,u230.5,-108,u230.5,-110
Wed Oct 25 2023,Portland Trail Blazers,111,Los Angeles Clippers,123,o229,-110,o225,-110,o226,-108,o226.5,-110,o225,-110,o225.5,-110,o226,-115,o226,-108,u229,-110,u225,-110,u226,-112,u226.5,-110,u225,-110,u225.5,-110,u226,-115,u226,-112
Thu Oct 26 2023,Philadelphia 76ers,117,Milwaukee Bucks,118,o227.5,-110,o228,-110,o227.5,-110,o227.5,-110,o228,-110,o227.5,-118,o227.5,-110,o227.5,-110,u227.5,-110,u228,-110,u227.5,-110,u227.5,-110,u228,-110,u227.5,-102,u227.5,-110,u227.5,-110
Thu Oct 26 2023,Phoenix Suns,95,Los Angeles Lakers,100,o230,-110,o227,-110,o226.5,-108,o226.5,-115,o227,-110,o226.5,-110,o226.5,-110,o226.5,-108,u230,-110,u227,-110,u226.5,-112,u226.5,-105,u227,-110,u226.5,-110,u226.5,-110,u226.5,-112
Fri Oct 27 2023,Denver Nuggets,108,Memphis Grizzlies,104,o225,-110,o221.5,-110,o221.5,-110,o221.5,-110,o221.5,-110,o221.5,-112,o221.5,-115,o221.5,-110,u225,-110,u221.5,-110,u221.5,-110,u221.5,-110,u221.5,-110,u221.5,-108,u221.5,-115,u221.5,-110
Fri Oct 27 2023,Detroit Pistons,111,Charlotte Hornets,99,o225.5,-110,o227.5,-110,o227,-110,o226.5,-105,o227,-110,o227,-112,o226.5,-110,o227,-110,u225.5,-110,u227.5,-110,u227,-110,u226.5,-115,u227,-110,u227,-108,u226.5,-110,u227,-110
Fri Oct 27 2023,New York Knicks,126,Atlanta Hawks,120,o229.5,-110,o229.5,-110,o228.5,-110,o229.5,-110,o229.5,-110,o229.5,-110,o240.5,-114,o228.5,-110,u229.5,-110,u229.5,-110,u228.5,-110,u229.5,-110,u229.5,-110,u229.5,-110,u240.5,-120,u228.5,-110
Fri Oct 27 2023,Oklahoma City Thunder,108,Cleveland Cavaliers,105,o226.5,-110,o226.5,-110,o226.5,-110,o226.5,-105,o226.5,-110,o250.5,-110,o226,-112,o226.5,-110,u226.5,-110,u226.5,-110,u226.5,-110,u226.5,-115,u226.5,-110,u250.5,-110,u226,-109,u226.5,-110
Fri Oct 27 2023,Miami Heat,111,Boston Celtics,119,o217,-110,o217.5,-110,o218,-110,o217.5,-110,o217.5,-110,o236.5,-112,o217.5,-113,o218,-110,u217,-110,u217.5,-110,u218,-110,u217.5,-110,u217.5,-110,u236.5,-108,u217.5,-108,u218,-110
Fri Oct 27 2023,Toronto Raptors,103,Chicago Bulls,104,o217,-110,o216.5,-110,o216.5,-110,o216.5,-110,o216,-105,o216,-110,o216.5,-109,o216.5,-110,u217,-110,u216.5,-110,u216.5,-110,u216.5,-110,u216,-115,u216,-110,u216.5,-112,u216.5,-110
Fri Oct 27 2023,Houston Rockets,122,San Antonio Spurs,126,o228.5,-110,o224.5,-110,o224.5,-110,o224.5,-115,o224.5,-110,o224.5,-110,o225,-115,o224.5,-110,u228.5,-110,u224.5,-110,u224.5,-110,u224.5,-105,u224.5,-110,u224.5,-110,u225,-115,u224.5,-110
Fri Oct 27 2023,Brooklyn Nets,120,Dallas Mavericks,125,o228.5,-110,o230,-110,o230,-110,o230.5,-115,o231,-110,o230,-108,o230.5,-109,o230,-110,u228.5,-110,u230,-110,u230,-110,u230.5,-105,u231,-110,u230,-112,u230.5,-112,u230,-110
Fri Oct 27 2023,Los Angeles Clippers,118,Utah Jazz,120,o228,-110,o227.5,-110,o228,-108,o227.5,-110,o227.5,-110,o227.5,-110,o227.5,-113,o228,-108,u228,-112,u227.5,-110,u228,-112,u227.5,-110,u227.5,-110,u227.5,-110,u227.5,-108,u228,-112
Fri Oct 27 2023,Orlando Magic,102,Portland Trail Blazers,97,o223.5,-110,o220.5,-110,o220.5,-110,o220.5,-110,o220.5,-110,o220.5,-110,o220.5,-109,o220.5,-110,u223.5,-110,u220.5,-110,u220.5,-110,u220.5,-110,u220.5,-110,u220.5,-110,u220.5,-112,u220.5,-110
Fri Oct 27 2023,Golden State Warriors,122,Sacramento Kings,114,o240.5,-110,o237,-110,o237.5,-110,o237.5,-110,o237,-110,o237,-110,o236.5,-108,o237.5,-110,u240.5,-110,u237,-110,u237.5,-110,u237.5,-110,u237,-110,u237,-110,u236.5,-113,u237.5,-110
Sat Oct 28 2023,Chicago Bulls,102,Detroit Pistons,118,o217.5,-110,o213.5,-110,o214.5,-110,o213.5,-110,o213.5,-110,o214,-112,o212.5,-109,o214.5,-110,u217.5,-110,u213.5,-110,u214.5,-110,u213.5,-110,u213.5,-110,u214,-108,u212.5,-112,u214.5,-110
Sat Oct 28 2023,Memphis Grizzlies,106,Washington Wizards,113,o227.5,-110,o229.5,-110,o227.5,-110,o229.5,-110,o229.5,-110,o228.5,-118,o230,-115,o227.5,-110,u227.5,-110,u229.5,-110,u227.5,-110,u229.5,-110,u229.5,-110,u228.5,-102,u230,-115,u227.5,-110
Sat Oct 28 2023,New York Knicks,87,New Orleans Pelicans,96,o225.5,-110,o223.5,-110,o224,-110,o223.5,-115,o223.5,-110,o223.5,-110,o223.5,-110,o224,-110,u225.5,-110,u223.5,-110,u224,-110,u223.5,-105,u223.5,-110,u223.5,-110,u223.5,-110,u224,-110
Sat Oct 28 2023,Indiana Pacers,125,Cleveland Cavaliers,113,o225,-110,o220.5,-110,o224,-110,o220.5,-110,o220.5,-110,o220,-110,o219.5,-112,o224,-110,u225,-110,u220.5,-110,u224,-110,u220.5,-110,u220.5,-110,u220,-110,u219.5,-109,u224,-110
Sat Oct 28 2023,Philadelphia 76ers,114,Toronto Raptors,107,o216.5,-110,o214,-110,o214.5,-108,o214.5,-110,o214,-110,o214.5,-110,o213.5,-115,o214.5,-108,u216.5,-110,u214,-110,u214.5,-112,u214.5,-110,u214,-110,u214.5,-110,u213.5,-115,u214.5,-112
Sat Oct 28 2023,Miami Heat,90,Minnesota Timberwolves,106,o218.5,-110,o215,-110,o216.5,-110,o214.5,-115,o214.5,-110,o215,-110,o215.5,-112,o216.5,-110,u218.5,-110,u215,-110,u216.5,-110,u214.5,-105,u214.5,-110,u215,-110,u215.5,-109,u216.5,-110
Sat Oct 28 2023,Utah Jazz,104,Phoenix Suns,126,o223.5,-110,o223,-110,o223,-110,o223.5,-110,o223,-110,o223,-108,o223,-112,o223,-110,u223.5,-110,u223,-110,u223,-110,u223.5,-110,u223,-110,u223,-112,u223,-109,u223,-110
Sun Oct 29 2023,Denver Nuggets,128,Oklahoma City Thunder,95,o229.5,-110,o229.5,-110,o229.5,-110,o229.5,-110,o229.5,-115,o229.5,-110,o230,-110,o229.5,-110,u229.5,-110,u229.5,-110,u229.5,-110,u229.5,-110,u229.5,-105,u229.5,-110,u230,-110,u229.5,-110
Sun Oct 29 2023,Golden State Warriors,106,Houston Rockets,95,o226.5,-110,o223,-110,o226.5,-110,o222.5,-115,o222.5,-110,o223.5,-110,o223.5,-113,o226.5,-110,u226.5,-110,u223,-110,u226.5,-110,u222.5,-105,u222.5,-110,u223.5,-110,u223.5,-108,u226.5,-110
Sun Oct 29 2023,Atlanta Hawks,127,Milwaukee Bucks,110,o238.5,-110,o239.5,-110,o238.5,-110,o239.5,-110,o239.5,-110,o239,-110,o239.5,-110,o238.5,-110,u238.5,-110,u239.5,-110,u238.5,-110,u239.5,-110,u239.5,-110,u239,-110,u239.5,-110,u238.5,-110
Sun Oct 29 2023,Portland Trail Blazers,98,Philadelphia 76ers,126,o218.5,-110,o217,-110,o218.5,-110,o216.5,-115,o217,-110,o217,-110,o216.5,-115,o218.5,-110,u218.5,-110,u217,-110,u218.5,-110,u216.5,-105,u217,-110,u217,-110,u216.5,-115,u218.5,-110
Sun Oct 29 2023,San Antonio Spurs,83,Los Angeles Clippers,123,o228.5,-110,o229.5,-110,o228.5,-110,o229.5,-110,o229.5,-110,o229.5,-110,o229,-112,o228.5,-110,u228.5,-110,u229.5,-110,u228.5,-110,u229.5,-110,u229.5,-110,u229.5,-110,u229,-109,u228.5,-110
Sun Oct 29 2023,Los Angeles Lakers,127,Sacramento Kings,132,o234,-110,o236,-110,o234,-110,o235.5,-110,o236,-110,o236,-110,o235.5,-110,o234,-110,u234,-110,u236,-110,u234,-110,u235.5,-110,u236,-110,u236,-110,u235.5,-110,u234,-110
Mon Oct 30 2023,Chicago Bulls,112,Indiana Pacers,105,o226.5,-110,o230,-110,o226.5,-110,o229.5,-110,o229,-110,o229,-110,o230,-109,o226.5,-110,u226.5,-110,u230,-110,u226.5,-110,u229.5,-110,u229,-110,u229,-110,u230,-112,u226.5,-110
