date,away_team,away_pt,home_team,home_pt,away_line,home_line
Tue Dec 22 2020,Golden State Warriors,99,Brooklyn Nets,125,+263,-322
Tue Dec 22 2020,Los Angeles Clippers,116,Los Angeles Lakers,109,+115,-135
Wed Dec 23 2020,Charlotte Hornets,114,Cleveland Cavaliers,121,-148,+130
Wed Dec 23 2020,New York Knicks,107,Indiana Pacers,121,+269,-328
Wed Dec 23 2020,Miami Heat,107,Orlando Magic,113,-191,+164
Wed Dec 23 2020,Washington Wizards,107,Philadelphia 76ers,113,+251,-305
Wed Dec 23 2020,New Orleans Pelicans,113,Toronto Raptors,99,+150,-173
Wed Dec 23 2020,Milwaukee Bucks,121,Boston Celtics,122,-185,+160
Wed Dec 23 2020,Atlanta Hawks,124,Chicago Bulls,104,-126,+107
Wed Dec 23 2020,San Antonio Spurs,131,Memphis Grizzlies,119,+110,-129
Wed Dec 23 2020,Detroit Pistons,101,Minnesota Timberwolves,111,+180,-212
Wed Dec 23 2020,Sacramento Kings,124,Denver Nuggets,122,+269,-329
Wed Dec 23 2020,Utah Jazz,120,Portland Trail Blazers,100,-119,+104
Wed Dec 23 2020,Dallas Mavericks,102,Phoenix Suns,106,+100,-117
Fri Dec 25 2020,New Orleans Pelicans,98,Miami Heat,111,+131,-151
Fri Dec 25 2020,Golden State Warriors,99,Milwaukee Bucks,138,+448,-635
Fri Dec 25 2020,Brooklyn Nets,123,Boston Celtics,95,-148,+129
Fri Dec 25 2020,Dallas Mavericks,115,Los Angeles Lakers,138,+216,-258
Fri Dec 25 2020,Los Angeles Clippers,121,Denver Nuggets,108,-160,+140
Sat Dec 26 2020,Atlanta Hawks,122,Memphis Grizzlies,112,+119,-137
Sat Dec 26 2020,Oklahoma City Thunder,109,Charlotte Hornets,107,+127,-145
Sat Dec 26 2020,Cleveland Cavaliers,128,Detroit Pistons,119,-108,-110
Sat Dec 26 2020,Orlando Magic,130,Washington Wizards,120,+105,-120
Sat Dec 26 2020,Philadelphia 76ers,109,New York Knicks,89,-360,+295
Sat Dec 26 2020,Indiana Pacers,125,Chicago Bulls,106,-247,+208
Sat Dec 26 2020,Toronto Raptors,114,San Antonio Spurs,119,-138,+120
Sat Dec 26 2020,Minnesota Timberwolves,116,Utah Jazz,111,+351,-440
Sat Dec 26 2020,Houston Rockets,126,Portland Trail Blazers,128,+272,-331
Sat Dec 26 2020,Phoenix Suns,103,Sacramento Kings,106,-157,+137
Sun Dec 27 2020,Dallas Mavericks,124,Los Angeles Clippers,73,+130,-148
Sun Dec 27 2020,San Antonio Spurs,95,New Orleans Pelicans,98,+170,-196
Sun Dec 27 2020,Orlando Magic,120,Washington Wizards,113,-129,+112
Sun Dec 27 2020,Brooklyn Nets,104,Charlotte Hornets,106,-605,+460
Sun Dec 27 2020,Philadelphia 76ers,94,Cleveland Cavaliers,118,-248,+210
Sun Dec 27 2020,Milwaukee Bucks,110,New York Knicks,130,-1020,+721
Sun Dec 27 2020,Boston Celtics,107,Indiana Pacers,108,-145,+127
Sun Dec 27 2020,Golden State Warriors,129,Chicago Bulls,128,-166,+146
Sun Dec 27 2020,Phoenix Suns,116,Sacramento Kings,100,-155,+135
Sun Dec 27 2020,Minnesota Timberwolves,91,Los Angeles Lakers,127,+405,-520
Mon Dec 28 2020,Memphis Grizzlies,116,Brooklyn Nets,111,-126,+108
Mon Dec 28 2020,Detroit Pistons,120,Atlanta Hawks,128,+407,-524
Mon Dec 28 2020,Utah Jazz,110,Oklahoma City Thunder,109,-415,+331
Mon Dec 28 2020,Houston Rockets,111,Denver Nuggets,124,+222,-263
Mon Dec 28 2020,Portland Trail Blazers,115,Los Angeles Lakers,107,+198,-235
Tue Dec 29 2020,New York Knicks,95,Cleveland Cavaliers,86,+137,-158
Tue Dec 29 2020,Golden State Warriors,116,Detroit Pistons,106,-175,+152
Tue Dec 29 2020,Boston Celtics,116,Indiana Pacers,111,-109,-110
Tue Dec 29 2020,Chicago Bulls,115,Washington Wizards,107,+203,-242
Tue Dec 29 2020,Toronto Raptors,93,Philadelphia 76ers,100,+107,-126
Tue Dec 29 2020,Milwaukee Bucks,144,Miami Heat,97,-249,+209
Tue Dec 29 2020,Orlando Magic,118,Oklahoma City Thunder,107,-252,+212
Tue Dec 29 2020,New Orleans Pelicans,86,Phoenix Suns,111,+108,-127
Tue Dec 29 2020,Denver Nuggets,115,Sacramento Kings,125,-115,-108
Tue Dec 29 2020,Minnesota Timberwolves,101,Los Angeles Clippers,124,+460,-609
Wed Dec 30 2020,Milwaukee Bucks,108,Miami Heat,119,-255,+217
Wed Dec 30 2020,Atlanta Hawks,141,Brooklyn Nets,145,+196,-233
Wed Dec 30 2020,Memphis Grizzlies,107,Boston Celtics,126,+243,-291
Wed Dec 30 2020,Charlotte Hornets,118,Dallas Mavericks,99,+286,-347
Wed Dec 30 2020,Los Angeles Lakers,121,San Antonio Spurs,107,-318,+262
Wed Dec 30 2020,Portland Trail Blazers,105,Los Angeles Clippers,128,+200,-237
Thu Dec 31 2020,Cleveland Cavaliers,99,Indiana Pacers,119,+271,-330
Thu Dec 31 2020,Chicago Bulls,133,Washington Wizards,130,+245,-296
Thu Dec 31 2020,Philadelphia 76ers,116,Orlando Magic,92,-176,+154
Thu Dec 31 2020,Sacramento Kings,119,Houston Rockets,122,+182,-213
Thu Dec 31 2020,New York Knicks,83,Toronto Raptors,100,+301,-369
Thu Dec 31 2020,New Orleans Pelicans,113,Oklahoma City Thunder,80,-224,+190
Thu Dec 31 2020,Phoenix Suns,106,Utah Jazz,95,+150,-171
