Brooklyn Nets,104,Milwaukee Bucks,127
Golden State Warriors,121,Los Angeles Lakers,114
Indiana Pacers,122,Charlotte Hornets,123
Chicago Bulls,94,Detroit Pistons,88
Boston Celtics,134,New York Knicks,138
Washington Wizards,98,Toronto Raptors,83
Cleveland Cavaliers,121,Memphis Grizzlies,132
Houston Rockets,106,Minnesota Timberwolves,124
Philadelphia 76ers,117,New Orleans Pelicans,97
Orlando Magic,97,San Antonio Spurs,123
Oklahoma City Thunder,86,Utah Jazz,107
Sacramento Kings,124,Portland Trail Blazers,121
Denver Nuggets,110,Phoenix Suns,98
Dallas Mavericks,87,Atlanta Hawks,113
Milwaukee Bucks,95,Miami Heat,137
Los Angeles Clippers,113,Golden State Warriors,115
New York Knicks,121,Orlando Magic,96
Indiana Pacers,134,Washington Wizards,135
Charlotte Hornets,123,Cleveland Cavaliers,112
Toronto Raptors,115,Boston Celtics,83
Brooklyn Nets,114,Philadelphia 76ers,109
Oklahoma City Thunder,91,Houston Rockets,124
New Orleans Pelicans,112,Chicago Bulls,128
San Antonio Spurs,96,Denver Nuggets,102
Phoenix Suns,115,Los Angeles Lakers,105
Utah Jazz,110,Sacramento Kings,101
Atlanta Hawks,95,Cleveland Cavaliers,101
Miami Heat,91,Indiana Pacers,102
Dallas Mavericks,103,Toronto Raptors,95
Detroit Pistons,82,Chicago Bulls,97
New Orleans Pelicans,89,Minnesota Timberwolves,96
Milwaukee Bucks,121,San Antonio Spurs,111
Phoenix Suns,105,Portland Trail Blazers,134
Memphis Grizzlies,120,Los Angeles Clippers,114
Charlotte Hornets,111,Brooklyn Nets,95
Boston Celtics,107,Houston Rockets,97
Orlando Magic,110,New York Knicks,104
Philadelphia 76ers,115,Oklahoma City Thunder,103
Golden State Warriors,119,Sacramento Kings,107
Memphis Grizzlies,118,Los Angeles Lakers,121
Boston Celtics,140,Charlotte Hornets,129
Milwaukee Bucks,119,Indiana Pacers,109
Chicago Bulls,111,Toronto Raptors,108
Orlando Magic,90,Miami Heat,107
Washington Wizards,90,Brooklyn Nets,104
Detroit Pistons,104,Atlanta Hawks,122
New Orleans Pelicans,107,Minnesota Timberwolves,98
Cleveland Cavaliers,99,Denver Nuggets,87
Portland Trail Blazers,86,Los Angeles Clippers,116
Philadelphia 76ers,99,New York Knicks,112
Golden State Warriors,106,Oklahoma City Thunder,98
Los Angeles Lakers,125,San Antonio Spurs,121
Houston Rockets,106,Dallas Mavericks,116
Denver Nuggets,110,Utah Jazz,122
Charlotte Hornets,120,Orlando Magic,111
Washington Wizards,116,Boston Celtics,107
Miami Heat,106,Brooklyn Nets,93
Indiana Pacers,100,Toronto Raptors,118
Atlanta Hawks,102,New Orleans Pelicans,99
Minnesota Timberwolves,113,Milwaukee Bucks,108
Los Angeles Lakers,115,Oklahoma City Thunder,123
Sacramento Kings,110,Phoenix Suns,107
Memphis Grizzlies,96,Portland Trail Blazers,116
Cleveland Cavaliers,92,Los Angeles Clippers,79
Atlanta Hawks,111,Washington Wizards,122
Detroit Pistons,102,Philadelphia 76ers,110
Utah Jazz,122,Houston Rockets,91
New York Knicks,104,Chicago Bulls,103
San Antonio Spurs,99,Dallas Mavericks,104
Memphis Grizzlies,104,Golden State Warriors,101
Orlando Magic,109,Toronto Raptors,110
Charlotte Hornets,99,Miami Heat,114
Indiana Pacers,98,Brooklyn Nets,105
Sacramento Kings,113,New Orleans Pelicans,109
Dallas Mavericks,75,Denver Nuggets,106
Los Angeles Clippers,92,Portland Trail Blazers,111
Cleveland Cavaliers,101,Los Angeles Lakers,113
Boston Celtics,112,Washington Wizards,115
Orlando Magic,103,Detroit Pistons,110
New York Knicks,123,New Orleans Pelicans,117
Toronto Raptors,97,Indiana Pacers,94
Atlanta Hawks,94,Philadelphia 76ers,122
Utah Jazz,99,Chicago Bulls,107
Miami Heat,129,Memphis Grizzlies,103
San Antonio Spurs,102,Milwaukee Bucks,93
Oklahoma City Thunder,82,Golden State Warriors,103
Denver Nuggets,93,Minnesota Timberwolves,91
Cleveland Cavaliers,92,Phoenix Suns,101
Sacramento Kings,99,Dallas Mavericks,105
Portland Trail Blazers,113,Charlotte Hornets,125
Utah Jazz,107,Milwaukee Bucks,95
Detroit Pistons,91,Brooklyn Nets,117
Houston Rockets,85,Los Angeles Lakers,95
Cleveland Cavaliers,113,Charlotte Hornets,110
San Antonio Spurs,118,Indiana Pacers,131
Portland Trail Blazers,103,Philadelphia 76ers,113
Washington Wizards,111,Atlanta Hawks,118
Chicago Bulls,128,Boston Celtics,114
Toronto Raptors,113,New York Knicks,104
Denver Nuggets,97,Memphis Grizzlies,106
Orlando Magic,115,Minnesota Timberwolves,97
Oklahoma City Thunder,94,Los Angeles Clippers,99
Milwaukee Bucks,117,Detroit Pistons,89
Miami Heat,125,Dallas Mavericks,110
Sacramento Kings,113,Utah Jazz,119
New Orleans Pelicans,100,Phoenix Suns,112
Houston Rockets,117,Los Angeles Lakers,119
Portland Trail Blazers,104,Cleveland Cavaliers,107
New York Knicks,98,Indiana Pacers,111
Boston Celtics,92,Orlando Magic,79
Chicago Bulls,98,Philadelphia 76ers,103
Toronto Raptors,109,Washington Wizards,100
Atlanta Hawks,108,Brooklyn Nets,117
Denver Nuggets,106,Memphis Grizzlies,108
Los Angeles Clippers,126,Minnesota Timberwolves,115
Dallas Mavericks,109,San Antonio Spurs,108
Charlotte Hornets,92,Golden State Warriors,114
New Orleans Pelicans,99,Sacramento Kings,112
Philadelphia 76ers,109,Detroit Pistons,98
Utah Jazz,116,Atlanta Hawks,98
Boston Celtics,95,Miami Heat,78
Houston Rockets,111,Phoenix Suns,123
Oklahoma City Thunder,107,Los Angeles Lakers,104
Brooklyn Nets,96,Detroit Pistons,90
San Antonio Spurs,102,Orlando Magic,89
Memphis Grizzlies,87,Washington Wizards,115
New York Knicks,113,Milwaukee Bucks,98
Cleveland Cavaliers,102,Toronto Raptors,101
Los Angeles Clippers,104,Minnesota Timberwolves,84
New Orleans Pelicans,85,Golden State Warriors,126
Indiana Pacers,106,Portland Trail Blazers,110
Charlotte Hornets,110,Sacramento Kings,140
Houston Rockets,94,Denver Nuggets,95
Utah Jazz,115,Miami Heat,118
Philadelphia 76ers,114,Chicago Bulls,105
Boston Celtics,104,Dallas Mavericks,107
Atlanta Hawks,117,Phoenix Suns,121
Los Angeles Lakers,90,Portland Trail Blazers,105
Brooklyn Nets,116,Toronto Raptors,103
Cleveland Cavaliers,126,New York Knicks,109
Utah Jazz,100,Orlando Magic,107
Indiana Pacers,94,Sacramento Kings,91
Milwaukee Bucks,94,Washington Wizards,101
San Antonio Spurs,94,Oklahoma City Thunder,99
Houston Rockets,107,Golden State Warriors,120
Charlotte Hornets,106,Los Angeles Clippers,120
New York Knicks,103,Philadelphia 76ers,96
Brooklyn Nets,95,Chicago Bulls,118
Minnesota Timberwolves,118,Memphis Grizzlies,125
New Orleans Pelicans,92,Dallas Mavericks,108
Miami Heat,96,Denver Nuggets,113
Atlanta Hawks,113,Golden State Warriors,127
Phoenix Suns,109,Sacramento Kings,104
Charlotte Hornets,123,Los Angeles Lakers,126
Milwaukee Bucks,118,Philadelphia 76ers,109
Atlanta Hawks,98,Utah Jazz,110
Portland Trail Blazers,109,Los Angeles Clippers,117
Washington Wizards,97,Cleveland Cavaliers,94
Brooklyn Nets,123,Orlando Magic,90
Toronto Raptors,88,Boston Celtics,104
